Show,EpId,ClipId,y
FluencyBank,010,1,NoStutteredWords
FluencyBank,010,4,Rep
FluencyBank,010,6,NoStutteredWords
FluencyBank,010,8,NoStutteredWords
FluencyBank,010,13,NoStutteredWords
FluencyBank,010,20,NoStutteredWords
FluencyBank,010,21,NoStutteredWords
FluencyBank,010,30,NoStutteredWords
FluencyBank,010,31,NoStutteredWords
FluencyBank,010,32,NoStutteredWords
FluencyBank,010,34,NoStutteredWords
FluencyBank,010,37,NoStutteredWords
FluencyBank,010,41,Interjection
FluencyBank,010,42,NoStutteredWords
FluencyBank,010,46,NoStutteredWords
FluencyBank,010,48,NoStutteredWords
FluencyBank,010,50,Interjection
FluencyBank,010,51,NoStutteredWords
FluencyBank,010,53,NoStutteredWords
FluencyBank,010,56,NoStutteredWords
FluencyBank,010,57,NoStutteredWords
FluencyBank,010,58,NoStutteredWords
FluencyBank,010,61,NoStutteredWords
FluencyBank,010,62,NoStutteredWords
FluencyBank,010,63,NoStutteredWords
FluencyBank,010,64,NoStutteredWords
FluencyBank,010,65,NoStutteredWords
FluencyBank,010,66,NoStutteredWords
FluencyBank,010,70,NoStutteredWords
FluencyBank,010,74,NoStutteredWords
FluencyBank,010,80,NoStutteredWords
FluencyBank,010,81,NoStutteredWords
FluencyBank,010,83,NoStutteredWords
FluencyBank,010,84,NoStutteredWords
FluencyBank,010,86,Interjection
FluencyBank,010,87,NoStutteredWords
FluencyBank,010,89,NoStutteredWords
FluencyBank,010,91,NoStutteredWords
FluencyBank,010,94,NoStutteredWords
FluencyBank,016,0,NoStutteredWords
FluencyBank,016,3,NoStutteredWords
FluencyBank,016,7,NoStutteredWords
FluencyBank,016,13,Prolongation
FluencyBank,016,15,NoStutteredWords
FluencyBank,016,19,NoStutteredWords
FluencyBank,016,35,Interjection
FluencyBank,016,41,NoStutteredWords
FluencyBank,016,42,NoStutteredWords
FluencyBank,016,45,NoStutteredWords
FluencyBank,016,50,NoStutteredWords
FluencyBank,016,52,Interjection
FluencyBank,016,58,NoStutteredWords
FluencyBank,016,64,NoStutteredWords
FluencyBank,016,70,Interjection
FluencyBank,016,76,Interjection
FluencyBank,016,77,Interjection
FluencyBank,016,83,NoStutteredWords
FluencyBank,016,84,NoStutteredWords
FluencyBank,016,85,NoStutteredWords
FluencyBank,016,88,NoStutteredWords
FluencyBank,016,92,NoStutteredWords
FluencyBank,016,93,Rep
FluencyBank,016,95,Interjection
FluencyBank,016,98,Rep
FluencyBank,016,112,Prolongation
FluencyBank,016,114,Interjection
FluencyBank,017,5,Interjection
FluencyBank,017,9,NoStutteredWords
FluencyBank,017,10,Prolongation
FluencyBank,017,13,NoStutteredWords
FluencyBank,017,15,Rep
FluencyBank,017,16,Interjection
FluencyBank,017,26,NoStutteredWords
FluencyBank,017,29,Interjection
FluencyBank,017,30,Interjection
FluencyBank,017,32,NoStutteredWords
FluencyBank,017,34,Rep
FluencyBank,017,36,NoStutteredWords
FluencyBank,017,39,NoStutteredWords
FluencyBank,017,40,NoStutteredWords
FluencyBank,017,41,NoStutteredWords
FluencyBank,017,45,Interjection
FluencyBank,017,49,NoStutteredWords
FluencyBank,017,51,Interjection
FluencyBank,017,55,NoStutteredWords
FluencyBank,017,59,NoStutteredWords
FluencyBank,017,65,Rep
FluencyBank,019,5,Interjection
FluencyBank,019,6,NoStutteredWords
FluencyBank,019,8,Interjection
FluencyBank,019,16,NoStutteredWords
FluencyBank,019,22,NoStutteredWords
FluencyBank,019,30,Interjection
FluencyBank,019,38,NoStutteredWords
FluencyBank,019,41,Rep
FluencyBank,019,45,NoStutteredWords
FluencyBank,019,46,NoStutteredWords
FluencyBank,019,57,Rep
FluencyBank,019,62,Interjection
FluencyBank,019,70,Rep
FluencyBank,019,82,Rep
FluencyBank,019,84,NoStutteredWords
FluencyBank,024,2,NoStutteredWords
